date,regime,prob_0,prob_1,prob_2,prob_3,prob_4,confidence
2022-04-06,3,3.7265898216164865e-06,1.2458629495037644e-11,3.64798229764293e-30,0.9998886643550202,0.00010760904270024706,0.9998886643550202
2022-04-07,3,3.5549930060261294e-06,2.2357151923381082e-11,1.5896642500573127e-28,0.9999214184226715,7.502656196558436e-05,0.9999214184226715
2022-04-08,3,2.950828447261131e-06,4.81684932760562e-11,5.392132797333436e-29,0.9999743014423319,2.274768105154005e-05,0.9999743014423319
2022-04-11,3,3.7552965502827056e-06,3.298528513622277e-10,1.5816701311184877e-27,0.9999885877912579,7.656582339625205e-06,0.9999885877912579
2022-04-12,3,6.668196156249922e-08,1.1722863018891724e-12,2.183333297630849e-28,0.99999185842147,8.074895396868129e-06,0.99999185842147
2022-04-13,3,4.345656448755925e-06,1.600150588431328e-11,8.82847577803187e-21,0.9995713843809608,0.00042426994658942106,0.9995713843809608
2022-04-14,3,8.50311948296804e-06,1.3023642596909564e-09,4.213098906418395e-25,0.9999617188778175,2.977670033533736e-05,0.9999617188778175
2022-04-18,3,1.1807242341082195e-05,3.29687766483371e-09,2.691878643650129e-26,0.999955608568326,3.258089245578458e-05,0.999955608568326
2022-04-19,3,0.000473810423086717,2.688623125700249e-07,9.628551958336125e-25,0.9995180905136811,7.830200919749359e-06,0.9995180905136811
2022-04-20,3,0.00040153417845973304,8.621182180046551e-08,5.849293413062686e-25,0.9995912657104162,7.1138993026013044e-06,0.9995912657104162
2022-04-21,3,0.001484825308388408,7.243263648471036e-07,9.529714019933564e-25,0.998494685105641,1.976525960622192e-05,0.998494685105641
2022-04-22,3,0.007187673429827435,1.1531852902302795e-06,4.241447161368681e-22,0.9927738513576393,3.732202724385902e-05,0.9927738513576393
2022-04-25,3,0.03034820958451137,1.3400866248136796e-06,5.081300845267828e-19,0.9695346214294221,0.00011582889944203774,0.9695346214294221
2022-04-26,3,0.006809861157172478,1.3024389631799558e-07,1.0523608763369863e-17,0.9931685071472105,2.1501451721244353e-05,0.9931685071472105
2022-04-27,3,0.25115909201704517,8.168534836528937e-06,7.26387601175733e-11,0.7487878155427101,4.4923832769017194e-05,0.7487878155427101
2022-04-28,3,0.011348606725064948,1.0562342403237045e-06,5.280915974179362e-17,0.9886291276485144,2.1209392180307418e-05,0.9886291276485144
2022-04-29,3,0.05938783611088156,1.1260561314009535e-06,4.3218981612651534e-11,0.9406103529363795,6.848533882587162e-07,0.9406103529363795
2022-05-02,3,0.056665885197552966,1.135365691648083e-05,4.592907654797441e-09,0.9433197962682818,2.960284340533071e-06,0.9433197962682818
